"","year","country","export_weight","import_weight","export_amount","import_amount","trade_balance","HS_code","description"
"1",2013,"Slovakia",0,0,0,0,0,"01","LIVE ANIMALS"
"2",2013,"Austria",0,0.1,1,6,-5,"01","LIVE ANIMALS"
"3",2013,"Romania",0,0.2,1,2,-2,"01","LIVE ANIMALS"
"4",2013,"Poland",0,0.2,1,5,-4,"01","LIVE ANIMALS"
"5",2013,"Netherland",1,29.4,106,1511,-1404,"01","LIVE ANIMALS"
"6",2013,"Lithuania",0,0,0,0,0,"01","LIVE ANIMALS"
"7",2013,"Italy",0,0.4,0,120,-119,"01","LIVE ANIMALS"
"8",2013,"Ireland",0,0,1,1,0,"01","LIVE ANIMALS"
"9",2013,"Hungary",0,0.2,0,12,-12,"01","LIVE ANIMALS"
"10",2013,"Croatia",0,0.2,0,9,-9,"01","LIVE ANIMALS"
"11",2013,"Greece",0,0,0,0,0,"01","LIVE ANIMALS"
"12",2013,"UK",0.5,6.5,7,2396,-2389,"01","LIVE ANIMALS"
"13",2013,"France",0.7,46.6,8,1922,-1914,"01","LIVE ANIMALS"
"14",2013,"Finland",0,0,0,0,0,"01","LIVE ANIMALS"
"15",2013,"Spain",0.4,0.9,233,80,153,"01","LIVE ANIMALS"
"16",2013,"Denmark",0,0,0,2,-2,"01","LIVE ANIMALS"
"17",2013,"Germany",0.2,53.6,2,5235,-5233,"01","LIVE ANIMALS"
"18",2013,"Czech Republic",0.1,0.1,6,31,-25,"01","LIVE ANIMALS"
"19",2013,"Cyprus",0,0,0,0,0,"01","LIVE ANIMALS"
"20",2013,"Bulgaria",0,0.1,0,1,-1,"01","LIVE ANIMALS"
"21",2013,"Belgium",0.5,12.7,187,518,-331,"01","LIVE ANIMALS"
"22",2013,"Sweden",0,0,0,0,0,"01","LIVE ANIMALS"
"23",2013,"Sweden",0,1261.6,0,1532,-1532,"02","MEAT AND EDIBLE MEAT OFFAL"
"24",2013,"Poland",45.4,12087.4,59,32661,-32602,"02","MEAT AND EDIBLE MEAT OFFAL"
"25",2013,"Netherland",0,9120.9,0,35950,-35950,"02","MEAT AND EDIBLE MEAT OFFAL"
"26",2013,"Italy",0,6.6,0,195,-195,"02","MEAT AND EDIBLE MEAT OFFAL"
"27",2013,"Ireland",0,1195.2,0,3262,-3262,"02","MEAT AND EDIBLE MEAT OFFAL"
"28",2013,"Hungary",4.4,3570,9,9499,-9490,"02","MEAT AND EDIBLE MEAT OFFAL"
"29",2013,"Austria",0,10941.6,0,38487,-38487,"02","MEAT AND EDIBLE MEAT OFFAL"
"30",2013,"France",0,7950.5,0,32405,-32405,"02","MEAT AND EDIBLE MEAT OFFAL"
"31",2013,"Finland",0,3760.3,0,10744,-10744,"02","MEAT AND EDIBLE MEAT OFFAL"
"32",2013,"Spain",0,24053.3,0,52952,-52952,"02","MEAT AND EDIBLE MEAT OFFAL"
"33",2013,"Denmark",0,14261.6,0,29365,-29365,"02","MEAT AND EDIBLE MEAT OFFAL"
"34",2013,"Germany",0,33114.7,0,115565,-115565,"02","MEAT AND EDIBLE MEAT OFFAL"
"35",2013,"Belgium",22,8281.7,90,29018,-28928,"02","MEAT AND EDIBLE MEAT OFFAL"
